플랫폼,날짜,순위,게임명,퍼블리셔
구글플레이,2025-07-10,25,냥코 대전쟁,PONOS Corporation
구글플레이,2025-07-10,26,EA SPORTS FC Online M,NEXON Company
구글플레이,2025-07-10,27,Dark War Survival,Florere Game
구글플레이,2025-07-10,28,소녀전선2: 망명,HaoPlay Limited
구글플레이,2025-07-10,29,명조:워더링 웨이브,HK KURO GAMES LIMITED
구글플레이,2025-07-10,30,씨사이드 익스케이프: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-10,31,탑 히어로즈,RiverGame
구글플레이,2025-07-10,32,운빨존많겜,111%
구글플레이,2025-07-10,33,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-10,34,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이",NEOWIZ corp
구글플레이,2025-07-10,35,가십하버: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-10,36,실버 앤 블러드:뱀파이어 RPG,Vizta Games
구글플레이,2025-07-10,37,브라운더스트2 - 어드벤처 RPG,NEOWIZ
구글플레이,2025-07-10,38,리니지M(12),NCSOFT
구글플레이,2025-07-10,39,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-10,40,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-10,41,원신,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-10,42,꿈의 정원 (Gardenscapes),Playrix
구글플레이,2025-07-10,43,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-10,44,브롤스타즈,Supercell
구글플레이,2025-07-10,45,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-10,46,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-10,47,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-10,48,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-10,49,리니지2 레볼루션,Netmarble
구글플레이,2025-07-10,50,컴투스프로야구V25,Com2uS
구글플레이,2025-07-10,51,버섯커 키우기-3000뽑기 증정,Joy Nice Games
구글플레이,2025-07-10,52,문명: 연맹의 시대,"2K, Inc. - a Take-Two Interactive affiliate"
구글플레이,2025-07-10,53,모에라이: 운명의 계약,Ujoy Games
구글플레이,2025-07-10,54,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-10,55,레이븐2,Netmarble
구글플레이,2025-07-10,56,클래시 로얄,Supercell
구글플레이,2025-07-10,57,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-10,58,eFootball™,KONAMI
구글플레이,2025-07-10,59,에그몬 월드:저니,"Apollo Technology Co.,Ltd"
구글플레이,2025-07-10,60,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-10,61,히어로 클래시: 강아지를 지키자,Glaciers Game
구글플레이,2025-07-10,62,블레이드&소울 레볼루션,Netmarble
구글플레이,2025-07-10,63,젠레스 존 제로,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-10,64,콩콩던전,Habby
구글플레이,2025-07-10,65,러브앤딥스페이스,InFold Games
구글플레이,2025-07-10,66,Limbus Company,Project Moon
구글플레이,2025-07-10,67,한게임 신맞고 : 대한민국 원조 고스톱,NHN Corp.
구글플레이,2025-07-10,68,꿈의 집 (Homescapes),Playrix
구글플레이,2025-07-10,69,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp
구글플레이,2025-07-10,70,메카 어셈블:좀비 스웜,ONEMT SGP
구글플레이,2025-07-10,71,궁수의 전설2,Habby
구글플레이,2025-07-10,72,Top Girl,A3Games
구글플레이,2025-07-10,73,컴투스프로야구2025,Com2uS
구글플레이,2025-07-10,74,던전앤파이터 모바일,NEXON Company
구글플레이,2025-07-10,75,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-10,76,서머너즈 워 X TEKKEN 8,Com2uS
